machine_id,status,temperature,vibration,rpm,timestamp,cumulative_hours,daily_hours
6,running,275.52,0.9,0,2025-04-28 18:49:19,768.22,0.08
7,idle,60.0,0.2,0,2025-04-28 18:49:19,651.37,0.08
8,idle,60.0,0.2,0,2025-04-28 18:49:19,655.79,0.08
9,running,103.97,0.9,69,2025-04-28 18:49:19,679.56,0.09
10,idle,60.0,0.2,0,2025-04-28 18:49:19,685.75,0.08
1,idle,60.0,0.2,0,2025-04-28 18:49:27,748.26,0.01
2,idle,60.0,0.2,0,2025-04-28 18:49:27,729.51,0.02
3,running,206.23,0.9,491,2025-04-28 18:49:27,744.93,0.02
4,running,202.53,0.48,308,2025-04-28 18:49:27,778.93,0.01
5,running,60,0.7,1779,2025-04-28 18:49:27,689.39,0.01
6,running,241.93,0.9,428,2025-04-28 18:49:27,766.45,0.02
7,running,179.82,0.9,1336,2025-04-28 18:49:27,675.8,0.01
8,running,92.98,0.19,0,2025-04-28 18:49:27,671.83,0.02
9,running,285.19,0.87,1483,2025-04-28 18:49:27,700.91,0.01
10,running,191.56,0.89,1060,2025-04-28 18:49:27,692.35,0.02
1,running,67.7,0.46,142,2025-04-28 18:49:29,775.92,0.08
2,running,218.37,0.58,352,2025-04-28 18:49:29,724.9,0.09
3,running,80.77,0.9,1349,2025-04-28 18:49:29,728.22,0.09
4,error,60.0,0.2,0,2025-04-28 18:49:29,702.72,0.09
5,idle,60.0,0.2,0,2025-04-28 18:49:29,796.1,0.08
6,running,300,0.9,0,2025-04-28 18:49:29,768.22,0.08
7,running,60,0.16,540,2025-04-28 18:49:29,651.37,0.08
8,running,104.06,0.23,0,2025-04-28 18:49:29,655.79,0.08
9,idle,60.0,0.2,0,2025-04-28 18:49:29,679.56,0.09
10,running,94.45,0.63,260,2025-04-28 18:49:29,685.76,0.09
1,running,60,0.6,695,2025-04-28 18:49:37,748.26,0.02
2,running,147.78,0.57,0,2025-04-28 18:49:37,729.51,0.02
3,running,179.21,0.9,1459,2025-04-28 18:49:37,744.94,0.02
4,running,246.13,0.9,0,2025-04-28 18:49:37,778.94,0.02
5,running,90.79,0.9,1059,2025-04-28 18:49:37,689.39,0.02
6,running,300,0.9,1043,2025-04-28 18:49:37,766.45,0.02
7,running,274.7,0.89,2140,2025-04-28 18:49:37,675.8,0.02
8,error,60.0,0.2,0,2025-04-28 18:49:37,671.83,0.02
9,running,277.29,0.9,1856,2025-04-28 18:49:37,700.91,0.02
10,idle,60.0,0.2,0,2025-04-28 18:49:37,692.35,0.02
1,running,119.1,0.86,779,2025-04-28 18:49:39,775.92,0.08
2,running,182.79,0.83,123,2025-04-28 18:49:39,724.91,0.1
3,idle,60.0,0.2,0,2025-04-28 18:49:39,728.22,0.09
4,idle,60.0,0.2,0,2025-04-28 18:49:39,702.72,0.09
5,running,60,0.23,0,2025-04-28 18:49:39,796.11,0.09
6,running,292.25,0.9,492,2025-04-28 18:49:39,768.23,0.09
7,running,60,0.21,143,2025-04-28 18:49:39,651.37,0.08
8,running,116.95,0.36,596,2025-04-28 18:49:39,655.8,0.09
9,error,60.0,0.2,0,2025-04-28 18:49:39,679.56,0.09
10,running,191.55,0.76,37,2025-04-28 18:49:39,685.76,0.09
1,running,70.23,0.81,0,2025-04-28 18:49:47,748.27,0.02
2,running,244.15,0.77,62,2025-04-28 18:49:47,729.51,0.02
3,error,60.0,0.2,0,2025-04-28 18:49:47,744.94,0.02
4,running,300,0.9,714,2025-04-28 18:49:47,778.94,0.02
5,running,73.78,0.9,1731,2025-04-28 18:49:47,689.39,0.02
6,running,300,0.87,353,2025-04-28 18:49:47,766.46,0.02
7,running,300,0.9,2951,2025-04-28 18:49:47,675.81,0.02
8,running,149.62,0.35,0,2025-04-28 18:49:47,671.83,0.02
9,running,238.69,0.9,2173,2025-04-28 18:49:47,700.91,0.02
10,running,152.49,0.6,739,2025-04-28 18:49:47,692.36,0.02
1,running,126.62,0.82,1646,2025-04-28 18:49:49,775.92,0.08
2,error,60.0,0.2,0,2025-04-28 18:49:49,724.91,0.1
3,error,60.0,0.2,0,2025-04-28 18:49:49,728.22,0.09
4,running,104.95,0.21,0,2025-04-28 18:49:49,702.72,0.09
5,running,72.17,0.64,0,2025-04-28 18:49:49,796.11,0.09
6,running,300,0.9,687,2025-04-28 18:49:49,768.23,0.09
7,idle,60.0,0.2,0,2025-04-28 18:49:49,651.37,0.08
8,running,177.57,0.37,0,2025-04-28 18:49:49,655.8,0.09
9,running,126.1,0.39,0,2025-04-28 18:49:49,679.56,0.09
10,running,269.24,0.9,0,2025-04-28 18:49:49,685.76,0.09
1,running,60,0.83,0,2025-04-28 18:49:57,748.27,0.02
2,running,231.53,0.84,0,2025-04-28 18:49:57,729.51,0.03
3,running,129.07,0.46,0,2025-04-28 18:49:57,744.94,0.03
4,running,253.84,0.9,1131,2025-04-28 18:49:57,778.94,0.02
5,idle,60.0,0.2,0,2025-04-28 18:49:57,689.39,0.02
6,running,261.46,0.9,22,2025-04-28 18:49:57,766.46,0.03
7,running,300,0.9,2794,2025-04-28 18:49:57,675.81,0.02
8,idle,60.0,0.2,0,2025-04-28 18:49:57,671.83,0.02
9,running,220.11,0.9,1521,2025-04-28 18:49:57,700.91,0.02
10,idle,60.0,0.2,0,2025-04-28 18:49:57,692.36,0.02
1,running,137.22,0.9,2433,2025-04-28 18:49:59,775.93,0.09
2,running,94.92,0.2,0,2025-04-28 18:49:59,724.91,0.1
3,running,92.92,0.67,0,2025-04-28 18:49:59,728.22,0.09
4,running,120.95,0.66,0,2025-04-28 18:49:59,702.72,0.09
5,running,151.89,0.82,400,2025-04-28 18:49:59,796.11,0.09
6,running,300,0.9,650,2025-04-28 18:49:59,768.23,0.09
7,idle,60.0,0.2,0,2025-04-28 18:49:59,651.37,0.08
8,running,192.98,0.36,486,2025-04-28 18:49:59,655.8,0.09
9,running,122.77,0.71,676,2025-04-28 18:49:59,679.56,0.09
10,running,300,0.9,0,2025-04-28 18:49:59,685.77,0.1
1,running,144.77,0.9,372,2025-04-28 18:50:07,748.27,0.03
2,running,226.6,0.9,476,2025-04-28 18:50:07,729.52,0.03
3,running,154.99,0.85,0,2025-04-28 18:50:07,744.94,0.03
4,running,300,0.9,841,2025-04-28 18:50:07,778.94,0.03
5,running,60,0.45,0,2025-04-28 18:50:07,689.39,0.02
6,running,300,0.9,860,2025-04-28 18:50:07,766.46,0.03
7,running,300,0.9,2719,2025-04-28 18:50:07,675.81,0.03
8,idle,60.0,0.2,0,2025-04-28 18:50:07,671.83,0.02
9,running,283.2,0.9,977,2025-04-28 18:50:07,700.92,0.03
10,idle,60.0,0.2,0,2025-04-28 18:50:07,692.36,0.02
1,error,60.0,0.2,0,2025-04-28 18:50:09,775.93,0.09
2,idle,60.0,0.2,0,2025-04-28 18:50:09,724.91,0.1
3,running,98.61,0.72,0,2025-04-28 18:50:09,728.22,0.09
4,error,60.0,0.2,0,2025-04-28 18:50:09,702.72,0.09
5,running,133.99,0.9,1397,2025-04-28 18:50:09,796.12,0.1
6,running,296.85,0.9,488,2025-04-28 18:50:09,768.24,0.1
7,running,89.2,0.27,0,2025-04-28 18:50:09,651.38,0.09
8,running,194.12,0.8,0,2025-04-28 18:50:09,655.81,0.1
9,idle,60.0,0.2,0,2025-04-28 18:50:09,679.56,0.09
10,running,268.47,0.9,0,2025-04-28 18:50:09,685.77,0.1
1,running,141.93,0.9,0,2025-04-28 18:50:17,748.27,0.03
2,running,178.1,0.9,998,2025-04-28 18:50:17,729.52,0.03
3,running,249.93,0.9,401,2025-04-28 18:50:17,744.94,0.03
4,running,300,0.89,704,2025-04-28 18:50:17,778.95,0.03
5,running,60,0.45,0,2025-04-28 18:50:17,689.4,0.03
6,running,300,0.9,250,2025-04-28 18:50:17,766.46,0.03
7,idle,60.0,0.2,0,2025-04-28 18:50:17,675.81,0.03
8,running,60,0.26,217,2025-04-28 18:50:17,671.84,0.02
9,running,300,0.9,788,2025-04-28 18:50:17,700.92,0.03
10,running,135.32,0.67,0,2025-04-28 18:50:17,692.36,0.03
1,running,107.55,0.49,709,2025-04-28 18:50:19,775.93,0.09
2,running,68.66,0.43,782,2025-04-28 18:50:19,724.91,0.1
3,idle,60.0,0.2,0,2025-04-28 18:50:19,728.22,0.09
4,running,96.56,0.55,681,2025-04-28 18:50:19,702.73,0.1
5,running,159.56,0.9,551,2025-04-28 18:50:19,796.12,0.1
6,idle,60.0,0.2,0,2025-04-28 18:50:19,768.24,0.1
7,running,95.86,0.58,282,2025-04-28 18:50:19,651.38,0.09
8,running,242.64,0.9,0,2025-04-28 18:50:19,655.81,0.1
9,running,60,0.6,14,2025-04-28 18:50:19,679.57,0.1
10,running,291.72,0.9,270,2025-04-28 18:50:19,685.77,0.1
1,running,140.1,0.86,778,2025-04-28 18:50:27,748.28,0.03
2,running,212.01,0.9,753,2025-04-28 18:50:27,729.52,0.03
3,running,243.05,0.9,943,2025-04-28 18:50:27,744.95,0.03
4,idle,60.0,0.2,0,2025-04-28 18:50:27,778.95,0.03
5,running,60,0.78,0,2025-04-28 18:50:27,689.4,0.03
6,running,300,0.9,687,2025-04-28 18:50:27,766.47,0.03
7,idle,60.0,0.2,0,2025-04-28 18:50:27,675.81,0.03
8,running,60,0.64,625,2025-04-28 18:50:27,671.84,0.03
9,running,300,0.9,583,2025-04-28 18:50:27,700.92,0.03
10,running,185.79,0.87,421,2025-04-28 18:50:27,692.36,0.03
1,running,97.56,0.9,794,2025-04-28 20:14:25,748.28,0.03
2,error,60.0,0.2,0,2025-04-28 20:14:25,729.52,0.03
3,running,300,0.9,286,2025-04-28 20:14:25,744.95,0.03
4,running,111.62,0.7,446,2025-04-28 20:14:25,778.95,0.03
5,running,60,0.9,200,2025-04-28 20:14:25,689.4,0.03
6,running,300,0.9,0,2025-04-28 20:14:25,766.47,0.03
7,running,60,0.47,945,2025-04-28 20:14:25,675.81,0.03
8,running,80.09,0.64,3,2025-04-28 20:14:25,671.84,0.03
9,running,300,0.9,359,2025-04-28 20:14:25,700.92,0.03
10,running,207.24,0.84,467,2025-04-28 20:14:25,692.36,0.03
1,idle,60.0,0.2,0,2025-04-28 20:14:35,748.28,0.03
2,running,60,0.29,562,2025-04-28 20:14:35,729.52,0.03
3,running,300,0.9,1110,2025-04-28 20:14:35,744.96,0.04
4,running,144.27,0.68,0,2025-04-28 20:14:35,778.96,0.04
5,idle,60.0,0.2,0,2025-04-28 20:14:35,689.4,0.03
6,running,251.37,0.9,0,2025-04-28 20:14:35,766.48,0.04
7,running,130.48,0.68,793,2025-04-28 20:14:35,675.82,0.04
8,running,133.9,0.9,0,2025-04-28 20:14:35,671.85,0.04
9,running,300,0.9,794,2025-04-28 20:14:35,700.93,0.04
10,running,175.51,0.9,28,2025-04-28 20:14:35,692.37,0.04
1,running,112.31,0.42,0,2025-04-28 20:14:45,748.29,0.04
2,running,91.98,0.34,166,2025-04-28 20:14:45,729.53,0.04
3,running,300,0.9,571,2025-04-28 20:14:45,744.96,0.04
4,idle,60.0,0.2,0,2025-04-28 20:14:45,778.96,0.04
5,idle,60.0,0.2,0,2025-04-28 20:14:45,689.4,0.03
6,running,300,0.9,305,2025-04-28 20:14:45,766.48,0.04
7,running,203.44,0.9,273,2025-04-28 20:14:45,675.82,0.04
8,running,218.52,0.9,979,2025-04-28 20:14:45,671.85,0.04
9,running,300,0.9,1253,2025-04-28 20:14:45,700.93,0.04
10,running,210.05,0.9,0,2025-04-28 20:14:45,692.37,0.04
1,idle,60.0,0.2,0,2025-04-28 20:14:55,748.29,0.04
2,running,147.04,0.46,498,2025-04-28 20:14:55,729.53,0.04
3,running,300,0.9,1156,2025-04-28 20:14:55,744.96,0.04
4,running,124.28,0.5,882,2025-04-28 20:14:55,778.96,0.04
5,running,79.92,0.28,0,2025-04-28 20:14:55,689.41,0.04
6,running,300,0.9,820,2025-04-28 20:14:55,766.48,0.04
7,running,172.9,0.9,0,2025-04-28 20:14:55,675.82,0.04
8,running,264.04,0.9,682,2025-04-28 20:14:55,671.85,0.04
9,idle,60.0,0.2,0,2025-04-28 20:14:55,700.93,0.04
10,running,201.56,0.89,0,2025-04-28 20:14:55,692.37,0.04
1,running,104.55,0.41,908,2025-04-28 20:15:05,748.29,0.04
2,running,213.77,0.48,1019,2025-04-28 20:15:05,729.53,0.04
3,running,266.32,0.9,2017,2025-04-28 20:15:05,744.96,0.04
4,running,113.21,0.84,0,2025-04-28 20:15:05,778.96,0.04
5,running,130.08,0.57,0,2025-04-28 20:15:05,689.41,0.04
6,running,300,0.9,1494,2025-04-28 20:15:05,766.48,0.04
7,running,255.98,0.9,23,2025-04-28 20:15:05,675.82,0.04
8,running,300,0.9,620,2025-04-28 20:15:05,671.85,0.04
9,running,118.98,0.38,0,2025-04-28 20:15:05,700.93,0.04
10,idle,60.0,0.2,0,2025-04-28 20:15:05,692.37,0.04
1,running,161.18,0.9,1163,2025-04-28 20:15:15,748.29,0.04
2,running,236.04,0.72,266,2025-04-28 20:15:15,729.53,0.04
3,running,300,0.9,2750,2025-04-28 20:15:15,744.97,0.05
4,running,78.56,0.9,807,2025-04-28 20:15:15,778.96,0.04
5,running,142.76,0.9,635,2025-04-28 20:15:15,689.41,0.04
6,running,300,0.89,1720,2025-04-28 20:15:15,766.49,0.05
7,running,300,0.9,82,2025-04-28 20:15:15,675.83,0.05
8,idle,60.0,0.2,0,2025-04-28 20:15:15,671.85,0.04
9,running,122.6,0.5,84,2025-04-28 20:15:15,700.93,0.04
10,running,60,0.25,0,2025-04-28 20:15:15,692.37,0.04
1,idle,60.0,0.2,0,2025-04-28 20:15:25,748.29,0.04
2,running,219.35,0.9,264,2025-04-28 20:15:25,729.54,0.05
3,running,289.1,0.9,2465,2025-04-28 20:15:25,744.97,0.05
4,running,85.97,0.9,313,2025-04-28 20:15:25,778.97,0.05
5,running,199.05,0.9,75,2025-04-28 20:15:25,689.41,0.04
6,running,300,0.86,1521,2025-04-28 20:15:25,766.49,0.05
7,running,300,0.9,0,2025-04-28 20:15:25,675.83,0.05
8,running,128.35,0.5,275,2025-04-28 20:15:25,671.86,0.05
9,running,99.65,0.9,0,2025-04-28 20:15:25,700.94,0.05
10,running,72.94,0.73,319,2025-04-28 20:15:25,692.38,0.05
1,running,98.19,0.26,0,2025-04-28 20:15:35,748.29,0.04
2,running,255.88,0.89,723,2025-04-28 20:15:35,729.54,0.05
3,running,280.51,0.89,2299,2025-04-28 20:15:35,744.97,0.05
4,running,178.85,0.9,629,2025-04-28 20:15:35,778.97,0.05
5,idle,60.0,0.2,0,2025-04-28 20:15:35,689.41,0.04
6,running,300,0.83,2482,2025-04-28 20:15:35,766.49,0.05
7,running,300,0.9,871,2025-04-28 20:15:35,675.83,0.05
8,running,208.16,0.72,384,2025-04-28 20:15:35,671.86,0.05
9,running,199.15,0.9,0,2025-04-28 20:15:35,700.94,0.05
10,running,106.64,0.9,0,2025-04-28 20:15:35,692.38,0.05
1,running,91.17,0.54,0,2025-04-28 20:15:45,748.3,0.05
2,running,300,0.9,1142,2025-04-28 20:15:45,729.54,0.05
3,running,300,0.9,2503,2025-04-28 20:15:45,744.97,0.05
4,running,182.42,0.9,1264,2025-04-28 20:15:45,778.97,0.05
5,running,60,0.69,738,2025-04-28 20:15:45,689.42,0.05
6,running,269.75,0.9,2707,2025-04-28 20:15:45,766.49,0.05
7,idle,60.0,0.2,0,2025-04-28 20:15:45,675.83,0.05
8,idle,60.0,0.2,0,2025-04-28 20:15:45,671.86,0.05
9,running,208.02,0.9,0,2025-04-28 20:15:45,700.94,0.05
10,running,176.88,0.9,0,2025-04-28 20:15:45,692.38,0.05
1,running,131.07,0.9,0,2025-04-28 20:15:55,748.3,0.05
2,running,300,0.9,597,2025-04-28 20:15:55,729.54,0.05
3,running,300,0.9,1628,2025-04-28 20:15:55,744.98,0.06
4,running,235.04,0.87,1679,2025-04-28 20:15:55,778.97,0.05
5,running,152.53,0.78,225,2025-04-28 20:15:55,689.42,0.05
6,idle,60.0,0.2,0,2025-04-28 20:15:55,766.49,0.05
7,idle,60.0,0.2,0,2025-04-28 20:15:55,675.83,0.05
8,idle,60.0,0.2,0,2025-04-28 20:15:55,671.86,0.05
9,running,179.78,0.9,228,2025-04-28 20:15:55,700.94,0.05
10,running,241.36,0.9,0,2025-04-28 20:15:55,692.38,0.05
1,error,60.0,0.2,0,2025-04-28 20:16:05,748.3,0.05
2,running,300,0.9,864,2025-04-28 20:16:05,729.55,0.06
3,running,300,0.9,1398,2025-04-28 20:16:05,744.98,0.06
4,running,185.12,0.9,2142,2025-04-28 20:16:05,778.98,0.06
5,running,126.83,0.82,0,2025-04-28 20:16:05,689.42,0.05
6,idle,60.0,0.2,0,2025-04-28 20:16:05,766.49,0.05
7,running,95.33,0.23,0,2025-04-28 20:16:05,675.83,0.05
8,running,141.1,0.57,0,2025-04-28 20:16:05,671.86,0.05
9,idle,60.0,0.2,0,2025-04-28 20:16:05,700.94,0.05
10,running,226.91,0.9,0,2025-04-28 20:16:05,692.39,0.06
1,running,153.13,0.64,897,2025-04-28 20:16:15,748.3,0.05
2,running,300,0.9,775,2025-04-28 20:16:15,729.55,0.06
3,running,300,0.9,1461,2025-04-28 20:16:15,744.98,0.06
4,running,210.01,0.9,1260,2025-04-28 20:16:15,778.98,0.06
5,idle,60.0,0.2,0,2025-04-28 20:16:15,689.42,0.05
6,running,76.38,0.41,144,2025-04-28 20:16:15,766.5,0.06
7,running,83.03,0.63,190,2025-04-28 20:16:15,675.84,0.06
8,running,171.32,0.84,663,2025-04-28 20:16:15,671.86,0.05
9,running,140.31,0.23,0,2025-04-28 20:16:15,700.95,0.06
10,idle,60.0,0.2,0,2025-04-28 20:16:15,692.39,0.06
1,error,60.0,0.2,0,2025-04-28 20:16:25,748.3,0.05
2,running,300,0.9,810,2025-04-28 20:16:25,729.55,0.06
3,idle,60.0,0.2,0,2025-04-28 20:16:25,744.98,0.06
4,idle,60.0,0.2,0,2025-04-28 20:16:25,778.98,0.06
5,running,84.03,0.47,960,2025-04-28 20:16:25,689.42,0.05
6,running,173.46,0.9,1052,2025-04-28 20:16:25,766.5,0.06
7,running,127.92,0.83,430,2025-04-28 20:16:25,675.84,0.06
8,running,218.79,0.9,0,2025-04-28 20:16:25,671.87,0.06
9,error,60.0,0.2,0,2025-04-28 20:16:25,700.95,0.06
10,running,60,0.5,0,2025-04-28 20:16:25,692.39,0.06
1,error,60.0,0.2,0,2025-04-28 20:16:35,748.3,0.05
2,running,288.22,0.9,1123,2025-04-28 20:16:35,729.56,0.07
3,running,110.5,0.52,514,2025-04-28 20:16:35,744.99,0.07
4,running,156.04,0.39,0,2025-04-28 20:16:35,778.98,0.06
5,running,159.68,0.9,1233,2025-04-28 20:16:35,689.43,0.06
6,running,248.9,0.9,375,2025-04-28 20:16:35,766.5,0.06
7,error,60.0,0.2,0,2025-04-28 20:16:35,675.84,0.06
8,idle,60.0,0.2,0,2025-04-28 20:16:35,671.87,0.06
9,running,118.47,0.5,318,2025-04-28 20:16:35,700.95,0.06
10,running,60,0.9,645,2025-04-28 20:16:35,692.39,0.06
1,error,60.0,0.2,0,2025-04-28 20:16:45,748.3,0.05
2,running,300,0.9,224,2025-04-28 20:16:45,729.56,0.07
3,idle,60.0,0.2,0,2025-04-28 20:16:45,744.99,0.07
4,idle,60.0,0.2,0,2025-04-28 20:16:45,778.98,0.06
5,running,151.82,0.9,2113,2025-04-28 20:16:45,689.43,0.06
6,running,252.37,0.86,0,2025-04-28 20:16:45,766.51,0.07
7,running,137.76,0.33,322,2025-04-28 20:16:45,675.84,0.06
8,running,138.35,0.62,0,2025-04-28 20:16:45,671.87,0.06
